UUID,FirstName,LastName,Password,WeakPassword,Title,Department,Groups,Description,OhYou
928bc9d5-ec22-46cd-a354-2d3aeecb5d8c,Wade,Baker,bigdog897,June2022#,VP of Operations,Operations,Senior Management,,"OU=Executive Users,OU=HQ,OU=Locations,DC=defense,DC=local"
d562d73f-1daf-4933-b9a8-f73a672c7d9e,Evelyn,Graves,goldenwolf864,daewoo,VP of Sales,Sales,Senior Management,,"OU=Executive Users,OU=HQ,OU=Locations,DC=defense,DC=local"
48c933d9-897c-42f7-b077-ade306dfe08b,Tammy,Lawrence,goldenswan750,devin,Executive Assistant,Executive Management,Staff,,"OU=Executive Users,OU=HQ,OU=Locations,DC=defense,DC=local"
750c3cc7-637f-4982-ab30-69d88b377012,Tracey,Holmes,orangelion753,tasha1,Executive Assistant,Executive Management,Staff,,"OU=Executive Users,OU=HQ,OU=Locations,DC=defense,DC=local"
247e644f-c205-4846-bdaa-f2426d1e53b3,Alyssa,Oliver,crazytiger578,alyssa,Client Relations Manager,Professional Services,Middle Management,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
dd5956d2-d7a0-4958-ade8-0ff79cd359af,Julia,Romero,tinyladybug304,2022Summer,Client Relations Manager,Professional Services,Middle Management,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
412a90d4-b27c-4735-baac-ebf40987427f,Randall,Burke,lazyfish375,123456a,Accounts Payable,Finance,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
1971c64a-e0e9-4e89-8d6a-ce844c5cd7be,Jacob,Moore,ticklishpanda606,Autumn22$,Payroll Specialist,Finance,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
7945c4ab-1c53-4f0f-ad86-95e51a3a6013,Grace,Holmes,whiteelephant570,their,Payroll Specialist,Finance,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
9238962b-50bd-4b55-83c4-7d1d19df81a1,Vera,Fields,goldenbutterfly216,overlord,Staff Accountant,Finance,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
5561703f-8398-4284-8045-fd39f9154298,Andre,Alvarez,organictiger795,unknown,Staff Accountant,Finance,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
066d9a58-7c64-4bac-a6b7-f7be8dfb3a7b,Irma,Murphy,heavyelephant516,presiden,Accounting Manager,Finance,Middle Management,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
95961e45-eb06-4be7-a69f-7935ce0ee967,Melanie,Moreno,beautifulfrog686,montag,Graphic Designer I,Marketing,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
d9b45961-879f-46ae-b8fa-264015111e88,Joy,Campbell,goldencat881,starfish,Graphic Designer II,Marketing,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
26aacf55-1f59-4ba2-a7c0-df9d97d20caa,Jeanette,Lopez,silvergorilla569,nylons,Marketing Manager,Marketing,Middle Management,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
0a460a4f-0240-4853-8214-e82dc2ce10e1,Joel,Gibson,blacklion145,brandon1,Web Developer,Marketing,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
4f6174fd-6daf-4783-b0bd-b79036560c99,Max,Fleming,yellowfrog802,chicago,Copy Editor,Marketing,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
393d67b9-c4ef-4de5-8e73-5407a1618229,Roberta,Burns,D3fense!,D3fense!,Copy Editor,Marketing,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
94dbb41d-e5f1-49da-a993-3c192ad069d5,Brittany,Arnold,browngoose219,venom,Senior Web Developer,Marketing,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
6fe07440-a141-4488-bcfc-acc772dbca3c,Antonio,Watson,angryzebra368,puddin,Cybersecurity Analyst,Information Security,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
84fa9845-79c8-409a-ad47-f82450db91d0,Kaylee,Long,goldenbear836,semperfi,Cybersecurity Analyst,Information Security,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
acf1d5de-c898-46d1-bd88-7b808b40fa56,Jacob,Hernandez,whiteostrich806,helen,Security Engineer I,Information Security,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
738f6899-5f45-4cee-b80c-1b605984532c,Robin,Lambert,yellowbear416,hoops,Security Engineer II,Information Security,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
a02751d5-8117-41d8-b2ef-364283403b78,Darren,Marshall,saddog164,xxxxxx1,Security Architect,Information Security,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
6ca512b0-d7dc-4fc5-a789-8e490a538004,Eleanor,Rivera,bluelion136,bowling,Senior Security Architect,Information Security,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
d37d1830-09a3-461a-a85d-ee23e9ec87d1,Dan,Stanley,organicleopard181,devildog,Information Security Manager,Information Security,Senior Management,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
6d2d089a-c4fd-4472-b48e-803242d2a6a9,Dale,Lane,whitebird761,glacier,Security Operations Manager,Information Security,Senior Management,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
763de358-dc39-4b74-bb8f-111656120c4d,Isobel,Graves,D3fense!,D3fense!,Help Desk Specialist I,Information Technology,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
41c1cf7c-144a-40ed-bea9-47a7fabc1de5,Lauren,Fleming,bluedog102,bonsai,Help Desk Specialist I,Information Technology,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
d915a8a0-6ee4-436b-836b-cb016dc82ef9,Meghan,Fowler,lazydog117,werdna,Help Desk Specialist II,Information Technology,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
bfb10cd3-b879-4a8d-b13a-11470220d037,Lynn,Sanchez,crazyzebra119,terry1,System Administrator,Information Technology,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
41d2eae9-c117-4aec-9ef5-12aee149b5f8,Gerald,Riley,bluebear514,slugger,System Administrator II,Information Technology,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
47dd78b0-2511-4040-b5be-59ac683cfb45,Rose,King,yellowpanda877,thanatos,System Administrator II,Information Technology,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
d07c832e-0425-48e3-8c84-012611784e73,Sara,Byrd,ticklishkoala951,qqqqqq,Customer Support Manager,Information Technology,Middle Management,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
d82ad9eb-9229-408d-bab3-5f7ab2f954a3,Luke,Simpson,blacktiger438,arkansas,Datacenter Manager,Information Technology,Senior Management,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
ed450b9c-d99d-4d4b-83ea-ecbbbcdff9e3,Cathy,Torres,heavyostrich615,eraser,Talent Recruiter,Human Resources,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
cbbeff9b-3582-40dd-a62c-ba39635977b4,Serenity,Thomas,beautifulwolf299,warcraft,Talent Recruiter,Human Resources,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
dcc14ac9-c1e0-4546-9d66-fd94eb5654c6,Howard,May,bluebutterfly389,oasis,HR Manager,Human Resources,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
c80a5c60-fb11-44d2-bd0d-ad69c2079686,Marie,Hicks,heavydog390,button,Talent Acquisition Manager,Human Resources,Middle Management,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
01f20c25-f352-4d75-92c8-f9858f86cdeb,Deanna,Mccoy,tinybear341,gareth,HR Specialist,Human Resources,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
6978c1f4-32a3-400f-8649-fd445805e5b0,Marc,Pierce,bigzebra190,aptiva,HR Specialist,Human Resources,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
4b3f58af-9e2d-4000-9008-8f9bbaebce36,Kristina,Matthews,silversnake127,Winter2022!,Client Privacy Specialist,Information and Privacy,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
c88e71b7-d7b3-4fb1-a4fc-40d134ec6fe4,Wallace,Wade,brownlion230,francine,Client Privacy Analyst,Information and Privacy,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
f78643df-19ab-46e6-b82d-d64176aeb747,Stacey,Rhodes,angryswan748,america,Facilities Manager,Operations,Middle Management,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
f2ff8d6f-ace9-4068-b807-768610d6cdec,Gertrude,Lawrence,whiteswan882,shazam,Facilities Support I,Operations,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
3c6ddd40-d7cc-48e6-b791-79142972e7f0,Marian,Weaver,yellowdog391,tomcat,Facilities Support I,Operations,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
131e5644-4f50-4f66-93c3-8b2d57107947,Peter,Rivera,blackgoose736,kasper,Facilities Support III,Operations,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
38ce080a-59ed-4359-afb2-1b2321cf0b13,Julie,Gordon,purplepeacock609,1976,Supply Chain Manager,Operations,Middle Management,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
f0d31a16-40e5-4773-9037-d6bc3d4f26f4,Allen,Silva,whitegoose246,boeing,Supply Aqcuisition Specialist,Operations,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
40800686-3436-40c2-a80b-20e2ff8db2f0,Hazel,Gutierrez,heavywolf417,tools,Inventory Manager,Operations,Middle Management,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
359823bf-a6c3-4d64-a087-3dab3e11f499,Annie,Wheeler,organicleopard100,wright,Network Administrator,Information Technology,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
d44981c5-ee40-4ee3-881b-ff05ae372eed,Katie,Smith,ticklishduck293,swim,Network Administrator,Information Technology,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
3d60ffb1-04c6-4fff-ab4e-bb97d8eb200e,Ella,Crawford,yellowleopard992,luan,Network Engineer,Information Technology,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
63861a6b-05f5-4dcc-bf6f-0b4ac2489464,Evan,Simmmons,goldenelephant958,choke,Network Manager,Information Technology,Middle Management,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
770744a9-fe2f-4b03-bf2d-6520b6bed58c,Justin,Davis,beautifulcat206,down,Technology Administrative Assistant,Information Technology,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
e93bd6f9-e060-43f2-b4e3-a33344b607ee,Matthew,Brewer,lazygorilla555,sandy,Risk Manager,Compliance and Risk,Middle Management,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
8f3202e7-691d-4ecb-9bb8-9838c11ecf99,Nathan,Ferguson,whitesnake786,styles,Compliance Specialist I,Compliance and Risk,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
5b9f2320-9d71-4293-9671-1aead4be9889,Lillian,Wright,yellowmeercat261,wendy1,Senior Compliance Specialist,Compliance and Risk,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
2dd748e8-9a4e-434e-a5f1-6836640f7201,Michael,Carlson,angrybutterfly129,pisces,Compliance Specialist II,Compliance and Risk,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
970c9fd1-ac5b-4ca7-b81a-497c9ade53ec,Leon,West,purpleostrich357,indigo,CRM Administrator,Professional Services,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
81af734d-f769-4185-a4f0-d49f6fec198a,Nelson,Warren,silverbutterfly117,engineer,Data Analyst,Professional Services,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
87af7550-9e56-496a-b912-66c015c5ce92,Stacy,Sullivan,blackkoala433,holidays,Data Analyst,Professional Services,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
32dd307f-6a96-4bd4-a0a3-22a8a7490ca3,Jeff,Cruz,yellowpeacock102,camaross,Quality Assurance Specialist,Compliance and Risk,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
e101bb4f-d74f-44ea-a0d8-f69f23efbd5c,Kelly,White,silverbear396,broncos,Office Manager,Professional Services,Marietta Office|Staff,,"OU=Employees,OU=Marietta,OU=Locations,DC=defense,DC=local"
32d0164c-c8cf-43fa-8eb4-7ba6bfd54cbd,Adam,Fox,happyelephant363,diamond1,Assistant Manager,Professional Services,Marietta Office|Staff,,"OU=Employees,OU=Marietta,OU=Locations,DC=defense,DC=local"
bdb94259-6d84-4abb-96f1-4b09cbc1a9a1,Veronica,Thompson,lazyrabbit646,tech,Office Manager,Professional Services,Chicago Office|Staff,,"OU=Employees,OU=Chicago,OU=Locations,DC=defense,DC=local"
31c133bf-7040-4bce-b466-ad2959acef4e,Melinda,Gutierrez,ticklishelephant532,duan,Assistant Manager,Professional Services,Chicago Office|Staff,,"OU=Employees,OU=Chicago,OU=Locations,DC=defense,DC=local"
7d12e60e-4f81-4bde-985e-12a3873cef82,Patrick,Torres,whitemeercat915,baberuth,Office Manager,Professional Services,Seattle Office|Staff,,"OU=Employees,OU=Seattle,OU=Locations,DC=defense,DC=local"
5dec2ec2-e707-4f81-aff7-ae1b657a9ef8,Leo,Morris,goldenbutterfly497,acid,HVAC Engineer,Professional Services,Seattle Office|Staff,,"OU=Employees,OU=Seattle,OU=Locations,DC=defense,DC=local"
e2c059d8-55f5-4389-8f3b-55a142682cde,Phillip,Gomez,brownzebra406,jjjjjjj,Client Security Consultant,Professional Services,Seattle Office|Staff,,"OU=Employees,OU=Seattle,OU=Locations,DC=defense,DC=local"
cd51cd65-33cb-4cf0-a31f-6e9b4f593885,Rebecca,Fowler,bigtiger302,sugar1,Client Security Architect,Professional Services,Seattle Office|Staff,,"OU=Employees,OU=Seattle,OU=Locations,DC=defense,DC=local"
9299c085-3d64-45b6-9236-9bfb6e713cb0,Raul,Armstrong,ticklishzebra123,1616,Client Offensive Security Specialist,Professional Services,Chicago Office|Staff,,"OU=Employees,OU=Chicago,OU=Locations,DC=defense,DC=local"
fa215b5b-20dd-4472-8d01-b99a04d07dd2,Courtney,Garcia,whiteladybug135,101,Client Offensive Security Consultant,Professional Services,Chicago Office|Staff,,"OU=Employees,OU=Chicago,OU=Locations,DC=defense,DC=local"
963beda6-29b8-454e-aac4-0bc23725ece3,Regina,Perry,redgorilla193,comedy,Client Incident Handler,Professional Services,Chicago Office|Staff,,"OU=Employees,OU=Chicago,OU=Locations,DC=defense,DC=local"
2a44133b-caa3-4990-b608-a0994ac9f396,April,Coleman,brownwolf802,dusty,Client Incident Response Specailist,Professional Services,Chicago Office|Staff,,"OU=Employees,OU=Chicago,OU=Locations,DC=defense,DC=local"
d9f0e9d1-37f4-46e0-84ed-fa8d86d3b535,Marie,Reynolds,D3fense!,D3fense!,Client Incident Response Specailist,Professional Services,Marietta Office|Staff,,"OU=Employees,OU=Marietta,OU=Locations,DC=defense,DC=local"
b45eba22-f96d-4e95-a0ab-d23e5e95014b,Leslie,Simpson,crazydog409,3x7pxr,Client Incident Response Specailist,Professional Services,Marietta Office|Staff,,"OU=Employees,OU=Marietta,OU=Locations,DC=defense,DC=local"
11f100c0-b846-479f-a205-1ce5636c0f64,Bobbie,Banks,yellowwolf354,iforget,Client Incident Response Specailist,Professional Services,Marietta Office|Staff,,"OU=Employees,OU=Marietta,OU=Locations,DC=defense,DC=local"
203f888f-c9ba-4ec5-bd95-7c90cd03cdf7,Shannon,Sims,ticklishbutterfly266,weng,Client Incident Handler,Professional Services,Marietta Office|Staff,,"OU=Employees,OU=Marietta,OU=Locations,DC=defense,DC=local"
8e052235-06e6-4a7b-b295-a41db872fee4,Tim,Terry,sadwolf546,volkswag,Client Detection Engineer,Professional Services,Marietta Office|Staff,,"OU=Employees,OU=Marietta,OU=Locations,DC=defense,DC=local"
149cc6ca-3153-4928-9485-0c92dfa25a30,Franklin,Stephens,angrymouse640,script,Sales Manager,Sales,Middle Management,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
d64fde6c-fd74-4b8b-accb-3c167b3e1e7d,Calvin,Campbell,redostrich357,kristina,Account Executive,Sales,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
0db3a332-a6a0-4287-9359-5c2691419090,Ritthy,Brown,greenwolf509,robert,Account Executive,Sales,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
f79c5890-d5d9-4da0-8144-dbceddf02a9e,Barry,Powell,ticklishkoala538,wearing,Regional Account Executive,Sales,Middle Management,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
8c260672-2d0e-4676-aafa-1144e8bafb89,Harvey,Silva,purplerabbit464,charles,Sales Administrative Assistant,Sales,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
2eaec707-a6ef-4255-b229-42c21d0b326a,Craig,Rose,happysnake474,darwin,Sales Administrative Assistant,Sales,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
b8248212-0e3d-4236-8c17-a1b0dddc7e64,Celina,Dunn,happyrabbit831,heyyou,Quality Assurance Specialist,Compliance and Risk,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
6b691d53-4926-4938-a0e2-2670e27e284a,Isaac,Moreno,sadtiger421,redd,Client Detection Engineer,Professional Services,Staff,,"OU=Employees,OU=HQ,OU=Locations,DC=defense,DC=local"
aa197703-c558-4766-9dba-9a89c6f371ed,Robot,Service,$rv1c3P@s$!,$rv1c3P@s$!,,,Service Accounts,$rv1c3P@s$!,"OU=Service Accounts,DC=defense,DC=local"
ac504aec-949b-44ae-86b3-2d440a513d0f,Domain,User,UsedToJoinDomain!,UsedToJoinDomain!,,,Service Accounts,UsedToJoinDomain!,"OU=Service Accounts,DC=defense,DC=local"
9b1ae8d0-624f-45e8-84a1-2440ab8be618,SQL,Admin,Password4321!,Password123,,,Local Administrators,,"OU=Service Accounts,DC=defense,DC=local"
